1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,Day,Group,Day.1,Total
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,56,311,32,371,787,331,0,0,348,111,0,0,44,360,91,182,116,86,12,17,557,1213,429,83,0,7,5,182,1057,1118,1176,1039,1123,938,513,666,144,92,42,112,165,9,42,353,54,335,150,116,147,0,0,0,8,24,179,30,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,35,School,Monday,15398
0,0,0,0,0,0,4,0,0,0,5,103,70,186,140,888,0,0,0,0,21,788,0,0,0,0,0,0,157,8,0,15,0,176,129,318,593,0,878,0,260,0,17,160,5,0,0,0,10,0,0,0,353,77,461,550,96,0,0,21,0,17,46,243,135,53,0,0,97,20,21,566,674,116,0,0,10,0,71,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,School,Tuesday,8618
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,90,43,168,270,408,696,0,0,323,0,0,0,197,279,240,110,53,172,0,496,1535,1482,1200,1156,387,123,128,24,67,0,0,0,0,0,91,229,54,22,5,11,0,0,0,7,0,0,0,0,21,12,196,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,School,Wednesday,10341
0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,740,37,0,0,0,377,729,304,48,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,13,6,0,0,6,209,0,0,0,0,0,97,301,694,615,756,90,0,0,0,0,0,0,0,0,0,82,185,74,0,58,5,20,128,9,5,66,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,School,Thursday,5948
0,0,7,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,15,0,0,111,163,13,0,0,0,0,0,0,44,15,54,134,22,123,37,29,50,0,29,0,0,25,249,248,39,84,123,86,72,26,375,101,273,44,105,108,73,83,19,21,131,0,43,0,0,25,0,6,0,0,0,58,0,44,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,39,School,Friday,3761
0,0,0,0,0,7,0,0,0,0,0,4,0,7,0,0,13,49,211,56,136,14,38,39,0,138,48,257,0,177,223,381,103,124,229,228,485,87,135,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,305,173,0,307,47,271,386,134,88,471,385,43,65,0,149,127,130,53,0,79,199,0,0,0,0,0,0,40,School.W,Saturday,6779
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,37,0,6,0,6,0,41,59,0,88,97,142,0,0,0,8,232,52,0,168,174,76,49,50,130,642,888,989,986,900,911,723,891,145,32,49,0,0,0,0,23,24,0,0,9,9,0,88,266,131,228,56,181,374,12,12,0,0,84,170,0,0,0,0,0,0,0,0,0,41,School.W,Sunday,10254
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,4,0,125,46,1040,1149,1214,1162,949,8,104,0,277,13,115,165,79,228,424,139,43,11,4,6,6,0,0,0,0,0,0,0,99,379,0,0,131,27,37,0,0,26,98,0,252,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,School,Monday,8595
0,0,0,0,0,0,0,0,0,0,0,0,98,211,254,851,126,0,0,0,269,0,161,147,66,17,0,739,9,12,7,10,0,0,0,0,0,88,44,644,533,989,1221,1316,1295,1211,627,35,4,0,0,0,15,0,8,0,0,0,0,0,0,22,505,789,862,270,75,71,35,0,7,0,0,28,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,School,Tuesday,13728
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,4,52,91,53,373,467,534,0,0,0,546,85,0,0,0,381,168,27,177,325,6,0,0,0,4,4,25,0,999,78,33,53,198,0,721,613,516,670,529,642,758,723,689,731,546,0,140,0,0,14,42,46,23,12,8,0,5,1285,202,167,145,80,0,0,0,0,0,0,0,9,0,0,0,0,0,44,School,Wednesday,14014
